"location","M","D","I-PGA","I-Sas","I-Tc","II-PGA","II-Sas","II-Tc","III-PGA","III-Sas","III-Tc","IV-PGA","IV-Sas","IV-Tc","V-PGA","V-Sas","V-Tc","VI-PGA","VI-Sas","VI-Tc"
"Kaitaia",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Kerikeri",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Haruru",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Paihia",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Opua",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Kawakawa",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Moerewa",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Kaikohe",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Hikurangi",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Ngunguru",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Whangarei",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"One Tree Point",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Ruakaka",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Dargaville",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Waipu",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Mangawhai Heads",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Wellsford",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Warkworth",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Snells Beach",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Hibiscus Coast",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Parakai",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Helensville",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Coromandel",6.4,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Riverhead",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Kumeu-Huapai",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Waimauku",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Waiheke West",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Whitianga",6.5,"n/a",0.02,0.03,0.4,0.02,0.04,0.5,0.02,0.05,0.5,0.03,0.06,0.6,0.03,0.07,0.6,0.03,0.09,0.6
"Muriwai",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Auckland",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Maraetai",6.3,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Beachlands-Pine Harbour",6.3,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Manukau City",6.2,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Tairua",6.5,"n/a",0.02,0.03,0.5,0.02,0.04,0.5,0.02,0.05,0.6,0.03,0.07,0.6,0.03,0.08,0.7,0.03,0.09,0.7
"Pauanui",6.5,"n/a",0.02,0.03,0.5,0.02,0.04,0.5,0.02,0.05,0.6,0.03,0.07,0.6,0.03,0.08,0.7,0.03,0.09,0.7
"Clarks Beach",6.3,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Thames",6.5,"n/a",0.02,0.03,0.5,0.02,0.04,0.5,0.02,0.05,0.6,0.03,0.06,0.6,0.03,0.07,0.7,0.03,0.09,0.7
"Patumahoe",6.3,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Pukekohe",6.4,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Whangamata",6.6,"n/a",0.02,0.04,0.5,0.02,0.05,0.5,0.03,0.06,0.6,0.03,0.07,0.6,0.03,0.09,0.7,0.04,0.1,0.7
"Pokeno",6.4,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Waiuku",6.3,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Tuakau",6.4,"n/a",0.02,0.03,0.4,0.02,0.04,0.4,0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.5,0.03,0.09,0.6
"Ngatea",6.5,"n/a",0.02,0.03,0.5,0.02,0.04,0.5,0.02,0.05,0.6,0.03,0.06,0.6,0.03,0.07,0.7,0.03,0.09,0.7
"Paeroa",6.6,"n/a",0.02,0.04,0.5,0.02,0.05,0.5,0.02,0.06,0.6,0.03,0.07,0.6,0.03,0.08,0.7,0.04,0.1,0.7
"Waihi",6.6,"n/a",0.02,0.04,0.5,0.02,0.05,0.5,0.03,0.06,0.6,0.03,0.08,0.6,0.03,0.09,0.7,0.04,0.11,0.7
"Te Kauwhata",6.5,"n/a",0.02,0.03,0.4,0.02,0.04,0.5,0.02,0.05,0.5,0.03,0.06,0.6,0.03,0.07,0.6,0.03,0.09,0.6
"Waihi Beach-Bowentown",6.6,"n/a",0.02,0.04,0.5,0.03,0.06,0.5,0.03,0.07,0.6,0.04,0.09,0.6,0.04,0.1,0.6,0.04,0.12,0.7
"Te Aroha",6.6,"n/a",0.02,0.04,0.5,0.02,0.05,0.5,0.03,0.06,0.6,0.03,0.08,0.6,0.03,0.09,0.7,0.04,0.11,0.7
"Huntly",6.5,"n/a",0.02,0.03,0.5,0.02,0.04,0.5,0.02,0.05,0.6,0.03,0.06,0.6,0.03,0.07,0.7,0.03,0.09,0.7
"Katikati",6.6,"n/a",0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.6,0.04,0.09,0.6,0.04,0.1,0.6,0.04,0.12,0.7
"Omokoroa",6.6,"n/a",0.03,0.05,0.4,0.03,0.07,0.5,0.04,0.08,0.5,0.04,0.1,0.6,0.05,0.12,0.6,0.05,0.14,0.7
"Mount Maunganui",6.6,"n/a",0.03,0.06,0.4,0.04,0.08,0.5,0.04,0.1,0.5,0.05,0.12,0.6,0.05,0.13,0.6,0.06,0.16,0.6
"Morrinsville",6.6,"n/a",0.02,0.04,0.5,0.02,0.05,0.5,0.03,0.06,0.6,0.03,0.08,0.6,0.03,0.09,0.7,0.04,0.1,0.7
"Ngaruawahia",6.6,"n/a",0.02,0.03,0.5,0.02,0.04,0.6,0.02,0.05,0.6,0.03,0.06,0.6,0.03,0.07,0.7,0.03,0.09,0.7
"Tauranga",6.6,"n/a",0.03,0.06,0.4,0.04,0.08,0.5,0.04,0.1,0.5,0.05,0.12,0.6,0.05,0.13,0.6,0.06,0.16,0.6
"Te Puke",6.5,"n/a",0.04,0.08,0.4,0.04,0.09,0.4,0.05,0.11,0.5,0.06,0.14,0.5,0.06,0.16,0.6,0.07,0.19,0.6
"Hamilton",6.6,"n/a",0.02,0.03,0.5,0.02,0.04,0.6,0.02,0.06,0.6,0.03,0.07,0.6,0.03,0.08,0.7,0.03,0.1,0.7
"Raglan",6.6,"n/a",0.02,0.03,0.5,0.02,0.04,0.5,0.02,0.05,0.6,0.03,0.06,0.6,0.03,0.07,0.6,0.03,0.09,0.7
"Matamata",6.7,"n/a",0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.6,0.04,0.09,0.6,0.04,0.1,0.7,0.05,0.12,0.7
"Cambridge",6.7,"n/a",0.02,0.04,0.5,0.02,0.05,0.5,0.03,0.06,0.6,0.03,0.08,0.6,0.03,0.09,0.7,0.04,0.11,0.7
"Ruatoria",6.6,"n/a",0.08,0.17,0.3,0.09,0.2,0.3,0.11,0.23,0.4,0.12,0.26,0.4,0.13,0.29,0.4,0.13,0.32,0.5
"Whakatane",6.4,"n/a",0.09,0.19,0.3,0.1,0.22,0.3,0.12,0.26,0.4,0.13,0.29,0.4,0.14,0.32,0.5,0.14,0.35,0.5
"Edgecumbe",6.3,"n/a",0.07,0.15,0.3,0.08,0.18,0.3,0.1,0.21,0.4,0.11,0.24,0.4,0.11,0.27,0.5,0.12,0.3,0.5
"Ohope",6.5,"n/a",0.09,0.19,0.3,0.1,0.22,0.3,0.12,0.26,0.4,0.13,0.29,0.4,0.14,0.32,0.4,0.15,0.35,0.5
"Pirongia",6.7,"n/a",0.02,0.04,0.5,0.02,0.05,0.5,0.03,0.06,0.6,0.03,0.07,0.6,0.03,0.09,0.7,0.04,0.1,0.7
"Te Awamutu",6.7,"n/a",0.02,0.04,0.5,0.02,0.05,0.5,0.03,0.06,0.6,0.03,0.08,0.6,0.03,0.09,0.7,0.04,0.11,0.7
"Opotiki",6.5,"n/a",0.09,0.19,0.3,0.1,0.22,0.3,0.12,0.26,0.4,0.13,0.29,0.4,0.14,0.32,0.4,0.15,0.35,0.5
"Kihikihi",6.7,"n/a",0.02,0.04,0.5,0.02,0.05,0.5,0.03,0.06,0.6,0.03,0.08,0.6,0.03,0.09,0.7,0.04,0.11,0.7
"Putaruru",6.7,"n/a",0.03,0.05,0.4,0.03,0.07,0.5,0.04,0.08,0.6,0.04,0.1,0.6,0.05,0.12,0.7,0.05,0.14,0.7
"Ngongotaha",6.6,"n/a",0.04,0.08,0.4,0.04,0.09,0.4,0.05,0.12,0.5,0.06,0.14,0.6,0.06,0.16,0.6,0.07,0.19,0.6
"Kawerau",6.4,"n/a",0.06,0.13,0.3,0.07,0.15,0.4,0.08,0.18,0.4,0.09,0.21,0.5,0.1,0.23,0.5,0.11,0.27,0.5
"Rotorua",6.6,"n/a",0.04,0.08,0.4,0.05,0.1,0.4,0.06,0.12,0.5,0.06,0.15,0.5,0.07,0.17,0.6,0.08,0.2,0.6
"Otorohanga",6.7,"n/a",0.02,0.04,0.5,0.02,0.05,0.5,0.03,0.06,0.6,0.03,0.08,0.6,0.04,0.09,0.7,0.04,0.11,0.7
"Tokoroa",6.7,"n/a",0.03,0.06,0.4,0.04,0.08,0.5,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.13,0.6,0.06,0.16,0.7
"Te Kuiti",6.7,"n/a",0.02,0.04,0.5,0.02,0.05,0.5,0.03,0.07,0.6,0.03,0.08,0.6,0.04,0.1,0.7,0.04,0.11,0.7
"Mangakino",6.7,"n/a",0.03,0.06,0.4,0.04,0.08,0.5,0.04,0.1,0.5,0.05,0.12,0.6,0.05,0.13,0.6,0.06,0.16,0.7
"Murupara",6.7,"n/a",0.07,0.15,0.3,0.08,0.18,0.3,0.1,0.21,0.4,0.11,0.24,0.4,0.11,0.26,0.5,0.12,0.29,0.5
"Gisborne",6.6,"n/a",0.09,0.19,0.3,0.1,0.22,0.3,0.12,0.26,0.4,0.13,0.29,0.4,0.14,0.31,0.4,0.15,0.34,0.5
"Taupo",6.6,"n/a",0.05,0.1,0.4,0.06,0.12,0.4,0.06,0.14,0.5,0.07,0.17,0.5,0.08,0.19,0.6,0.09,0.22,0.6
"Taumarunui",6.7,"n/a",0.03,0.07,0.4,0.04,0.08,0.5,0.04,0.1,0.5,0.05,0.12,0.6,0.06,0.14,0.6,0.06,0.16,0.7
"Turangi",6.7,"n/a",0.06,0.14,0.3,0.08,0.16,0.4,0.09,0.19,0.4,0.1,0.22,0.4,0.11,0.25,0.5,0.11,0.28,0.5
"Waitara",6.7,"n/a",0.02,0.04,0.5,0.02,0.05,0.5,0.03,0.06,0.6,0.03,0.08,0.6,0.04,0.09,0.7,0.04,0.11,0.7
"Wairoa",6.7,"n/a",0.08,0.18,0.3,0.1,0.21,0.3,0.11,0.24,0.4,0.12,0.27,0.4,0.13,0.3,0.4,0.14,0.33,0.5
"New Plymouth",6.6,"n/a",0.02,0.04,0.5,0.02,0.05,0.5,0.03,0.06,0.6,0.03,0.08,0.6,0.03,0.09,0.7,0.04,0.11,0.7
"Oakura (New Plymouth District)",6.6,"n/a",0.02,0.04,0.5,0.02,0.05,0.5,0.03,0.06,0.6,0.03,0.08,0.6,0.03,0.09,0.7,0.04,0.1,0.7
"Inglewood",6.7,"n/a",0.02,0.04,0.5,0.03,0.06,0.5,0.03,0.07,0.6,0.04,0.09,0.6,0.04,0.1,0.7,0.04,0.12,0.7
"Stratford",6.8,"n/a",0.03,0.05,0.5,0.03,0.06,0.5,0.04,0.08,0.6,0.04,0.1,0.6,0.04,0.11,0.7,0.05,0.13,0.7
"Ohakune",6.8,"n/a",0.06,0.13,0.3,0.07,0.16,0.4,0.09,0.19,0.4,0.1,0.22,0.5,0.1,0.24,0.5,0.11,0.27,0.5
"Raetihi",6.8,"n/a",0.06,0.13,0.3,0.07,0.15,0.4,0.08,0.18,0.4,0.09,0.21,0.5,0.1,0.23,0.5,0.11,0.27,0.5
"Eltham",6.8,"n/a",0.03,0.05,0.4,0.03,0.07,0.5,0.04,0.09,0.6,0.04,0.1,0.6,0.05,0.12,0.7,0.05,0.14,0.7
"Opunake",6.7,"n/a",0.02,0.05,0.5,0.03,0.06,0.5,0.03,0.07,0.6,0.04,0.09,0.6,0.04,0.1,0.7,0.04,0.12,0.7
"Waiouru",6.8,"n/a",0.07,0.15,0.3,0.08,0.18,0.3,0.1,0.21,0.4,0.11,0.24,0.4,0.11,0.26,0.5,0.12,0.29,0.5
"Napier",6.7,"n/a",0.09,0.19,0.3,0.1,0.22,0.3,0.12,0.25,0.4,0.13,0.29,0.4,0.14,0.31,0.5,0.15,0.34,0.5
"Clive",6.7,"n/a",0.09,0.2,0.3,0.11,0.23,0.3,0.12,0.26,0.4,0.13,0.29,0.4,0.14,0.32,0.5,0.15,0.35,0.5
"Hawera",6.8,"n/a",0.03,0.06,0.4,0.04,0.07,0.5,0.04,0.09,0.5,0.05,0.11,0.6,0.05,0.13,0.6,0.06,0.15,0.7
"Hastings",6.7,"n/a",0.09,0.2,0.3,0.11,0.23,0.3,0.12,0.27,0.4,0.14,0.3,0.4,0.14,0.32,0.5,0.15,0.36,0.5
"Taihape",6.8,"n/a",0.08,0.16,0.3,0.09,0.19,0.3,0.1,0.22,0.4,0.12,0.26,0.4,0.12,0.28,0.5,0.13,0.31,0.5
"Havelock North",6.7,"n/a",0.09,0.2,0.3,0.11,0.23,0.3,0.12,0.27,0.4,0.14,0.3,0.4,0.14,0.33,0.5,0.15,0.36,0.5
"Patea",6.8,"n/a",0.04,0.08,0.4,0.04,0.09,0.5,0.05,0.11,0.5,0.06,0.13,0.6,0.06,0.15,0.6,0.07,0.18,0.6
"Whanganui",6.8,"n/a",0.07,0.15,0.3,0.08,0.18,0.3,0.1,0.21,0.4,0.11,0.24,0.4,0.11,0.27,0.5,0.12,0.3,0.5
"Waipawa",6.8,"n/a",0.1,0.22,0.3,0.12,0.25,0.3,0.13,0.29,0.4,0.15,0.33,0.4,0.15,0.35,0.5,0.16,0.38,0.5
"Waipukurau",6.8,"n/a",0.1,0.22,0.3,0.12,0.26,0.3,0.14,0.29,0.4,0.15,0.33,0.4,0.16,0.35,0.5,0.17,0.39,0.5
"Marton",6.8,"n/a",0.08,0.18,0.3,0.1,0.21,0.3,0.11,0.24,0.4,0.12,0.27,0.4,0.13,0.3,0.5,0.14,0.33,0.5
"Bulls",6.8,"n/a",0.09,0.19,0.3,0.1,0.22,0.3,0.12,0.25,0.4,0.13,0.29,0.4,0.13,0.31,0.5,0.14,0.34,0.5
